Order,Part Number,Quantity,Balance,Total Price,Value of Balance,Customer Number,Customer Name,Due Date,Part Description,Unit,Curr,Total Price ($),Date of Execution,Order Status,Territory Name,Family Description,Country,Sales Rep Name,is_executed
SO24000002,Roll Up S4 Omnimax,1,1,0.0,0.0,101625,LA Medical Aesthetics Ontario Inc.,2024-01-03,Roll Up S4 Omnimax,ea,CAD,0.0,2024-01-08,Paid,Ontario Beauty,Default part family,Canada,Michelle Boudreau,True
SO24000003,MRK00900_PROrev.001ww,1,1,0.0,0.0,101812,Phace Medical Aesthetics,2024-01-03,Rapid DPC PRO Decal,ea,CAD,0.0,2024-01-08,Paid,British Columbia,Default part family,Canada,Cynthia Boyer,True
SO24000006,000,2,2,1500.0,1500.0,100459,Beauty Marx Aesthetic Medspa,2024-01-05,Clinical Training (Per Day) - Virtual,ea,$,2004.46,2024-01-05,Confirmed,Pennsylvania,Default part family,United States,General,True
SO24000015,MRK00900_PROrev.001ww,1,1,0.0,0.0,101813,Salon Bronzage et Esthetique Bali's,2024-01-05,Rapid DPC PRO Decal,ea,CAD,0.0,2024-01-26,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000021,MRK00900_PROrev.001ww,1,1,0.0,0.0,101807,L. Coiffe Group JC Inc.,2024-01-09,Rapid DPC PRO Decal,ea,CAD,0.0,2024-01-17,Paid,Quebec,Default part family,Canada,Kim Benisty,True
SO24000028,PRD-DPC-HR635,-1,-1,-900.0,-900.0,100417,Jun Spa Ltd.,2024-01-10,Hand Piece 6.4/635 Hair Removal,ea,CAD,-900.0,2024-01-10,Confirmed,Alberta,Handles,Canada,General,True
SO24000034,PRD-00130,-1,-1,-890.0,-890.0,101056,Beautiful You Esthetics,2024-01-10,Max SR 580 - ROUND,ea,CAD,-890.0,2024-01-10,Confirmed,Ontario Beauty,Handles,Canada,General,True
SO24000037,Poster Rapid QS,1,1,0.0,0.0,101818,Beaute Emeraude,2024-01-11,Poster Rapid QS,ea,CAD,0.0,2024-02-03,Paid,Quebec,Default part family,Canada,Marie-Eve Levesque,True
SO24000040,30-033,1,1,0.0,0.0,101729,DermaScience Medical Spa,2024-01-12,Hand Pieces stand,ea,CAD,0.0,2024-01-12,Confirmed,Ontario Beauty,Marketing Parts,Canada,Sabah Shaikh,True
SO24000042,MRK-00268,1,1,0.0,0.0,101733,Sandy's Health & Wellness Centre,2024-01-12,Poster for clinic formax plus,ea,CAD,0.0,2024-01-25,Paid,Nova Scotia,Marketing Parts,Canada,Michelle Boudreau,True
